repsonse of q1 from initial conditions
time,q1,q2,tau
2,495,0,0
3,489,0,0
4,475,0,5
5,490,0,0
6,493,0,2
7,494,0,0
8,495,0,0
9,475,0,0
10,498,0,0
11,498,0,0
12,481,0,2
13,486,0,0
14,490,0,0
15,485,0,2
16,498,0,0
17,487,0,2
18,503,0,0
19,495,0,0
20,504,0,0
21,489,0,0
22,487,0,0
23,487,0,0
24,480,0,0
25,494,0,0
26,492,0,0
27,495,0,0
28,494,0,6
29,493,0,7
30,487,0,0
31,502,0,0
32,487,0,0
33,492,0,0
34,494,0,0
35,495,0,0
36,487,0,6
37,488,0,0
38,495,0,0
39,491,0,0
40,491,0,0
41,490,0,2
42,490,0,0
43,493,0,0
44,492,0,0
45,492,0,0
46,481,0,0
47,494,0,0
48,493,0,2
49,484,0,0
50,480,0,0
51,495,0,0
52,494,0,0
53,493,0,0
54,498,0,0
55,487,0,0
56,488,0,0
57,492,0,4
58,488,0,0
59,480,0,1
60,491,0,0
61,491,0,0
62,487,0,1
63,494,0,0
64,490,0,1
65,489,0,0
66,491,0,0
67,494,0,0
68,488,0,0
69,495,0,0
70,495,0,0
71,494,0,4
72,475,0,6
73,483,0,0
74,493,0,2
75,490,0,0
76,492,0,0
77,491,0,2
78,494,0,0
79,493,0,2
80,481,0,0
81,492,0,0
82,492,0,0
83,498,0,0
84,493,0,10
85,498,0,0
86,480,0,1
87,490,0,0
88,496,0,0
89,500,0,0
90,480,0,0
91,488,0,0
92,492,0,0
93,486,0,0
94,492,0,0
95,497,0,0
96,485,0,0
97,487,0,0
98,489,0,0
99,496,0,0
100,496,0,0
101,494,0,1
102,495,0,0
103,502,0,1
104,488,0,0
105,487,0,2
106,495,0,1
107,504,0,0
108,480,0,0
109,490,0,1
110,480,0,4
111,495,0,0
112,483,0,0
113,494,0,0
114,498,0,0
115,493,0,0
116,489,0,0
117,480,0,0
118,494,0,0
119,485,0,0
120,487,0,4
121,491,0,6
122,488,0,0
123,489,0,0
124,487,0,0
125,487,0,0
126,489,0,0
127,488,0,0
128,498,0,0
129,492,0,0
130,486,0,0
131,493,0,0
132,485,0,4
133,480,0,0
134,493,0,1
135,480,0,0
136,493,0,2
137,482,0,0
138,482,0,2
139,490,0,0
140,487,0,0
141,487,0,0
142,496,0,0
143,489,0,0
144,495,0,2
145,494,0,0
146,488,0,0
147,488,0,0
148,493,0,2
149,489,0,4
150,485,0,0
151,487,0,0
152,493,0,0
153,486,0,0
154,489,0,0
155,493,0,0
156,492,0,0
157,491,0,2
158,491,0,6
159,492,0,6
160,488,0,0
161,480,0,0
162,483,0,3
163,495,0,0
164,480,0,0
165,488,0,0
166,487,0,3
167,480,0,0
168,495,0,0
169,480,0,0
170,483,0,0
171,483,0,0
172,489,0,0
173,493,0,0
174,486,0,0
175,489,0,0
176,495,0,0
177,487,0,0
178,483,0,6
179,489,0,0
180,488,0,0
181,493,0,2
182,494,0,0
183,494,0,0
184,489,0,0
185,492,0,2
186,480,0,1
187,480,0,0
188,493,0,0
189,487,0,0
190,494,0,0
191,493,0,0
192,491,0,0
193,489,0,0
194,488,0,0
195,485,0,7
196,483,0,0
197,481,0,0
198,492,0,0
199,492,0,6
200,495,0,0
201,492,0,0
202,499,0,0
203,502,0,0
204,493,0,0
205,487,0,0
206,488,0,1
207,488,0,1
208,489,0,2
209,482,0,0
210,488,0,0
211,493,0,0
212,483,0,0
213,492,0,0
214,492,0,0
215,489,0,2
216,496,0,0
217,496,0,0
218,496,0,0
219,492,0,1
220,493,0,2
221,483,0,0
222,494,0,0
223,496,0,0
225,493,0,0
227,482,0,0
229,498,0,4
231,490,0,0
233,487,0,1
235,499,0,1
237,487,0,0
239,481,0,0
241,502,0,0
243,492,0,0
245,496,0,0
247,482,0,1
249,495,0,0
251,493,0,0
253,494,0,4
255,493,0,0
257,485,0,0
259,493,0,3
261,480,0,0
263,495,0,4
2,488,0,0
265,488,0,0
266,487,0,0
267,487,0,0
269,487,0,0
270,494,0,0
271,487,0,0
273,492,0,0
274,494,0,0
275,489,0,0
277,490,0,1
278,481,0,1
279,487,0,0
281,498,0,0
282,492,0,2
283,496,0,0
285,487,0,6
286,488,0,1
287,494,0,2
289,488,0,0
290,480,0,2
291,481,0,0
293,481,0,3
294,497,0,1
295,492,0,2
297,483,0,7
298,490,0,0
299,495,0,0
301,488,0,2
302,489,0,0
303,494,0,0
305,483,0,1
306,493,0,7
307,487,0,0
309,485,0,2
310,502,0,1
311,488,0,1
313,480,0,0
314,480,0,0
315,481,0,0
316,502,0,0
317,502,0,0
318,496,0,1
319,483,0,0
320,498,0,4
321,493,0,4
322,493,0,0
323,490,0,1
324,491,0,0
325,498,0,0
326,488,0,0
327,498,0,0
328,494,0,0
329,494,0,0
330,498,0,0
331,481,0,0
332,487,0,0
333,493,0,2
334,487,0,0
335,496,0,0
336,487,0,0
337,492,0,1
338,495,0,0
339,487,0,3
340,496,0,3
341,487,0,1
342,493,0,0
343,496,0,0
344,489,0,0
345,489,0,0
346,488,0,0
347,487,0,0
348,487,0,0
349,492,0,0
350,492,0,0
351,496,0,0
352,481,0,0
353,491,0,0
354,491,0,0
355,490,0,0
356,495,0,0
357,491,0,2
358,483,0,7
359,506,0,2
360,492,0,0
361,498,0,1
362,492,0,0
363,483,0,0
364,482,0,0
365,495,0,2
366,495,0,2
367,496,0,0
368,495,0,4
369,493,0,3
370,493,0,3
371,487,0,1
372,487,0,1
373,480,0,2
374,498,0,0
375,494,0,0
376,494,0,0
377,494,0,0
378,494,0,1
379,496,0,0
380,493,0,2
381,472,0,0
382,493,0,0
383,502,0,1
384,502,0,0
385,490,0,0
386,498,0,4
387,496,0,0
388,490,0,1
389,496,0,0
390,494,0,1
391,485,0,2
392,492,0,0
393,488,0,1
394,488,0,4
395,491,0,0
396,492,0,0
397,492,0,0
398,480,0,0
399,485,0,0
400,489,0,0
401,494,0,0
402,493,0,3
403,493,0,2
404,498,0,0
405,493,0,0
406,488,0,3
407,482,0,0
408,498,0,0
409,496,0,0
410,492,0,0
411,485,0,0
412,498,0,0
413,499,0,0
414,490,0,0
415,488,0,0
416,493,0,0
417,480,0,0
418,498,0,0
419,496,0,0
420,487,0,0
421,483,0,0
422,490,0,0
423,495,0,0
424,480,0,0
425,481,0,4
426,502,0,0
427,493,0,0
428,494,0,0
429,486,0,3
430,488,0,2
431,482,0,0
432,495,0,0
433,487,0,0
434,485,0,0
435,480,0,0
436,499,0,0
437,487,0,1
438,495,0,4
439,480,0,0
440,494,0,1
441,495,0,0
442,495,0,2
443,481,0,0
444,494,0,1
445,493,0,0
446,493,0,1
447,495,0,0
448,495,0,0
449,481,0,2
450,495,0,0
451,500,0,2
452,496,0,3
453,496,0,0
454,514,0,0
455,516,0,0
456,516,0,0
457,522,0,7
458,532,0,0
459,533,0,3
460,532,0,10
461,543,0,0
462,551,0,0
463,549,0,0
464,549,0,0
465,555,0,0
466,572,0,0
467,560,0,0
468,583,0,2
469,568,0,0
470,587,0,3
471,606,0,0
472,612,0,2
473,618,0,0
474,622,0,1
475,632,0,4
476,641,0,1
477,648,0,0
478,661,0,2
479,661,0,2
480,676,0,2
481,688,0,0
482,706,0,0
483,705,0,0
484,713,0,0
485,729,0,1
486,743,0,6
487,753,0,0
488,774,0,1
489,769,0,2
490,799,0,2
491,802,0,1
492,821,0,0
493,838,0,0
494,842,0,0
495,866,0,0
496,866,0,0
497,900,0,1
498,914,0,6
499,928,0,0
500,951,0,0
501,957,0,0
502,972,0,0
503,1002,0,1
504,1015,0,0
505,1023,0,4
506,1054,0,0
507,1074,0,1
508,1087,0,0
509,1097,0,0
510,1125,0,11
511,1143,0,0
512,1165,0,4
513,1171,0,0
514,1203,0,0
515,1213,0,0
516,1247,0,3
517,1274,0,0
518,1304,0,0
519,1313,0,3
520,1332,0,0
521,1359,0,6
522,1372,0,0
523,1400,0,0
524,1424,0,1
525,1441,0,0
526,1464,0,0
527,1486,0,0
528,1504,0,2
529,1538,0,0
530,1551,0,0
531,1578,0,3
532,1586,0,5
533,1599,0,0
534,1636,0,0
535,1662,0,0
536,1672,0,0
537,1701,0,2
538,1717,0,0
539,1738,0,0
540,1759,0,0
541,1782,0,0
542,1808,0,1
543,1819,0,0
544,1840,0,1
545,1862,0,0
546,1884,0,0
547,1895,0,6
548,1895,0,6
549,1934,0,0
550,1958,0,0
551,1975,0,2
552,1999,0,0
553,2015,0,0
554,2040,0,0
555,2056,0,0
556,2063,0,0
557,2087,0,0
558,2093,0,0
559,2114,0,0
560,2141,0,6
561,2154,0,1
562,2165,0,0
563,2180,0,0
564,2202,0,0
565,2216,0,0
566,2227,0,0
567,2235,0,0
568,2253,0,2
569,2253,0,2
570,2278,0,1
571,2275,0,0
572,2304,0,0
573,2308,0,6
574,2317,0,0
575,2335,0,0
576,2347,0,0
577,2360,0,1
578,2365,0,0
579,2379,0,0
580,2384,0,0
581,2383,0,0
582,2414,0,0
583,2404,0,0
584,2416,0,0
585,2415,0,2
586,2433,0,0
587,2437,0,0
588,2421,0,0
589,2452,0,2
590,2460,0,0
591,2447,0,2
592,2472,0,0
593,2459,0,0
594,2466,0,0
595,2474,0,0
596,2472,0,2
597,2473,0,0
598,2477,0,0
599,2494,0,1
600,2484,0,0
601,2490,0,0
602,2475,0,0
603,2486,0,1
604,2474,0,0
605,2477,0,2
606,2490,0,0
607,2487,0,0
608,2467,0,0
610,2496,0,0
612,2487,0,6
614,2484,0,0
616,2485,0,0
618,2490,0,0
620,2490,0,0
622,2464,0,0
624,2456,0,0
626,2440,0,0
628,2414,0,1
630,2410,0,0
632,2388,0,0
634,2360,0,0
636,2332,0,2
638,2304,0,1
640,2284,0,2
642,2260,0,0
644,2229,0,0
646,2195,0,0
648,2161,0,0
650,2115,0,0
649,2145,0,0
652,2100,0,2
653,2075,0,2
654,2067,0,0
656,2030,0,0
657,2024,0,0
658,1992,0,2
660,1960,0,0
661,1946,0,1
662,1911,0,6
664,1884,0,0
665,1860,0,0
666,1848,0,0
668,1793,0,0
669,1778,0,0
670,1757,0,0
672,1707,0,0
673,1695,0,4
674,1671,0,2
676,1635,0,0
677,1608,0,1
678,1596,0,3
680,1562,0,1
681,1540,0,0
682,1520,0,2
684,1467,0,0
685,1458,0,1
686,1435,0,2
688,1397,0,6
689,1363,0,0
690,1360,0,0
692,1316,0,0
693,1297,0,2
694,1297,0,2
696,1252,0,2
697,1224,0,1
698,1205,0,3
700,1179,0,1
701,1151,0,0
702,1144,0,1
704,1097,0,0
705,1092,0,0
706,1065,0,6
707,1061,0,0
708,1029,0,6
709,1028,0,0
710,1013,0,3
711,991,0,0
712,986,0,0
713,961,0,0
714,943,0,0
715,929,0,0
716,928,0,0
717,916,0,0
718,903,0,0
719,881,0,1
720,884,0,10
721,866,0,1
722,858,0,0
723,841,0,0
724,836,0,0
725,822,0,1
726,822,0,1
727,793,0,0
728,796,0,0
729,796,0,0
730,781,0,0
731,772,0,0
732,757,0,0
733,747,0,0
734,751,0,0
735,740,0,0
736,736,0,2
737,732,0,0
738,731,0,0
739,722,0,2
740,715,0,0
741,707,0,0
742,706,0,1
743,718,0,2
744,722,0,0
745,718,0,1
746,716,0,0
747,713,0,0
748,717,0,0
749,706,0,0
750,706,0,0
751,712,0,0
752,726,0,2
753,709,0,1
754,707,0,0
755,708,0,0
756,711,0,4
757,714,0,1
758,699,0,0
759,716,0,0
760,726,0,0
761,711,0,0
762,715,0,0
763,716,0,2
764,699,0,0
765,716,0,0
766,712,0,1
767,726,0,0
768,735,0,4
769,748,0,0
770,752,0,0
771,760,0,0
772,762,0,0
773,782,0,0
774,776,0,0
775,797,0,3
776,801,0,0
777,801,0,0
778,836,0,0
779,847,0,0
780,843,0,0
781,860,0,0
782,860,0,0
783,894,0,1
784,891,0,2
785,922,0,1
786,928,0,0
787,937,0,4
788,953,0,7
789,982,0,0
790,975,0,0
791,1008,0,0
792,1030,0,0
793,1027,0,6
794,1046,0,0
795,1063,0,0
796,1077,0,0
797,1091,0,0
798,1119,0,0
799,1132,0,0
800,1148,0,0
801,1163,0,6
802,1175,0,0
803,1193,0,0
804,1226,0,0
805,1227,0,0
806,1251,0,0
807,1282,0,1
808,1287,0,0
809,1315,0,0
810,1331,0,0
811,1349,0,0
812,1372,0,0
813,1392,0,0
814,1408,0,2
815,1436,0,0
816,1448,0,0
817,1476,0,0
818,1491,0,0
819,1499,0,1
820,1535,0,0
821,1557,0,2
822,1574,0,0
823,1592,0,4
824,1607,0,0
825,1634,0,1
826,1645,0,0
827,1665,0,1
828,1694,0,1
829,1710,0,1
830,1726,0,0
831,1736,0,1
832,1760,0,0
833,1786,0,0
834,1806,0,1
835,1816,0,0
836,1829,0,10
837,1856,0,0
838,1882,0,0
839,1884,0,0
840,1908,0,2
841,1928,0,0
842,1946,0,0
843,1957,0,3
844,1967,0,1
845,1984,0,0
846,2010,0,0
847,2024,0,0
848,2036,0,2
849,2031,0,0
850,2061,0,0
851,2085,0,0
852,2088,0,0
853,2095,0,0
854,2124,0,2
855,2132,0,3
856,2144,0,0
857,2160,0,0
858,2172,0,0
859,2190,0,3
860,2204,0,1
861,2195,0,0
862,2218,0,0
863,2231,0,2
864,2244,0,0
865,2246,0,2
866,2251,0,0
867,2280,0,0
868,2273,0,6
869,2279,0,0
870,2295,0,0
871,2297,0,0
872,2307,0,0
873,2305,0,2
874,2325,0,0
875,2317,0,0
876,2342,0,0
877,2340,0,0
878,2345,0,0
879,2357,0,3
880,2357,0,2
881,2359,0,2
882,2359,0,2
883,2372,0,0
884,2373,0,0
885,2384,0,0
886,2371,0,2
887,2385,0,0
888,2394,0,1
889,2378,0,0
890,2392,0,0
891,2379,0,0
892,2392,0,0
893,2386,0,0
894,2386,0,0
895,2388,0,0
896,2378,0,0
897,2386,0,0
898,2386,0,0
899,2383,0,1
900,2385,0,0
901,2394,0,0
902,2384,0,0
903,2361,0,0
904,2383,0,4
905,2386,0,0
906,2375,0,4
907,2369,0,7
908,2376,0,1
909,2378,0,0
910,2384,0,0
911,2367,0,4
912,2378,0,0
913,2363,0,0
914,2346,0,2
915,2341,0,0
916,2328,0,0
917,2327,0,7
918,2309,0,4
919,2297,0,0
920,2283,0,2
921,2283,0,2
922,2272,0,6
923,2263,0,2
924,2262,0,0
925,2247,0,10
926,2250,0,0
927,2221,0,0
928,2205,0,0
929,2199,0,2
930,2182,0,0
931,2169,0,0
932,2168,0,0
933,2142,0,0
934,2131,0,6
935,2116,0,0
936,2104,0,0
937,2090,0,0
938,2063,0,0
939,2055,0,0
940,2050,0,0
941,2032,0,2
942,2013,0,0
943,1996,0,0
944,1975,0,0
945,1962,0,0
946,1950,0,0
947,1928,0,0
948,1897,0,0
949,1894,0,0
950,1882,0,0
951,1852,0,1
952,1844,0,0
953,1828,0,0
954,1797,0,0
955,1792,0,0
956,1765,0,4
957,1762,0,0
958,1739,0,1
959,1715,0,0
960,1697,0,6
961,1678,0,0
962,1656,0,0
963,1635,0,3
964,1613,0,0
965,1610,0,0
966,1610,0,0
967,1567,0,2
968,1549,0,0
969,1523,0,0
970,1511,0,0
971,1503,0,1
972,1482,0,0
973,1456,0,1
974,1437,0,0
975,1420,0,3
976,1404,0,0
977,1394,0,1
978,1370,0,0
979,1349,0,2
980,1338,0,0
981,1312,0,0
982,1289,0,0
983,1278,0,0
984,1270,0,1
985,1252,0,0
986,1239,0,0
987,1215,0,2
988,1193,0,6
989,1185,0,0
990,1155,0,0
991,1153,0,0
992,1146,0,0
993,1125,0,2
995,1101,0,0
997,1074,0,0
999,1042,0,0
1001,1021,0,0
1003,984,0,0
1005,977,0,2
1007,943,0,0
1009,932,0,0
1011,910,0,0
1013,893,0,3
1015,877,0,2
1017,860,0,0
1019,852,0,2
1021,836,0,0
1023,818,0,0
1025,822,0,1
1027,801,0,0
1029,814,0,4
1031,793,0,0
1033,814,0,2
1035,796,0,1
1036,796,0,6
1037,787,0,0
1039,798,0,0
1040,800,0,0
1041,797,0,0
1043,796,0,0
1044,793,0,0
1045,795,0,2
1047,783,0,0
1048,783,0,0
1049,798,0,0
1051,797,0,0
1052,792,0,1
1053,796,0,1
1055,801,0,0
1056,804,0,0
1057,809,0,0
1059,824,0,0
1060,840,0,0
1061,828,0,0
1063,851,0,2
1064,856,0,2
1065,864,0,0
1067,910,0,4
1068,903,0,0
1069,919,0,0
1071,938,0,0
1072,938,0,0
1073,947,0,0
1075,985,0,0
1076,997,0,0
1077,1022,0,0
1079,1040,0,3
1080,1052,0,0
1081,1074,0,0
1083,1083,0,0
1084,1104,0,0
1085,1129,0,1
1087,1166,0,0
1088,1170,0,0
1089,1176,0,0
1091,1225,0,2
1092,1245,0,1
1093,1256,0,0
1095,1306,0,0
1096,1304,0,0
1097,1331,0,0
1099,1367,0,7
1100,1383,0,1
1101,1385,0,0
1102,1409,0,0
1103,1423,0,0
1104,1455,0,1
1105,1471,0,0
1106,1487,0,6
1107,1514,0,0
1108,1528,0,0
1109,1552,0,5
1110,1574,0,0
1111,1577,0,0
1112,1602,0,0
1113,1602,0,0
1114,1636,0,2
1115,1648,0,0
1116,1665,0,3
1117,1675,0,4
1118,1706,0,0
1119,1719,0,0
1120,1737,0,0
1121,1756,0,0
1122,1767,0,0
1123,1778,0,1
1124,1799,0,0
1125,1823,0,2
1126,1848,0,0
1127,1847,0,6
1128,1872,0,0
1129,1884,0,0
1130,1902,0,0
1131,1913,0,0
1132,1932,0,0
1133,1935,0,0
1134,1966,0,0
1135,1963,0,2
1136,1987,0,0
1137,2005,0,2
1138,2007,0,0
1139,2026,0,1
1140,2046,0,0
1141,2056,0,0
1142,2069,0,0
1143,2080,0,1
1144,2102,0,0
1145,2111,0,0
1146,2120,0,0
1147,2120,0,0
1148,2144,0,1
1149,2149,0,0
1150,2155,0,0
1151,2179,0,0
1152,2176,0,0
1153,2179,0,0
1154,2195,0,0
1155,2205,0,3
1156,2212,0,0
1157,2211,0,1
1158,2217,0,0
1159,2239,0,0
1160,2250,0,0
1161,2252,0,3
1162,2260,0,0
1163,2258,0,0
1164,2265,0,0
1165,2277,0,2
1166,2279,0,0
1167,2277,0,3
1168,2286,0,2
1169,2288,0,0
1170,2295,0,0
1171,2306,0,0
1172,2301,0,0
1173,2295,0,1
1174,2285,0,0
1175,2298,0,1
1176,2314,0,0
1177,2309,0,0
1178,2309,0,1
1179,2314,0,0
1180,2314,0,0
1181,2311,0,5
1182,2306,0,2
1183,2292,0,0
1184,2297,0,0
1185,2299,0,0
1186,2298,0,0
1187,2304,0,0
1188,2289,0,0
1189,2305,0,1
1190,2305,0,0
1191,2314,0,0
1192,2301,0,0
1193,2309,0,0
1194,2303,0,0
1195,2301,0,3
1196,2322,0,2
1197,2303,0,0
1198,2302,0,4
1199,2306,0,2
1200,2292,0,0
1201,2287,0,0
1202,2272,0,0
1203,2261,0,2
1204,2253,0,0
1205,2246,0,0
1206,2237,0,0
1207,2228,0,0
1208,2213,0,0
1209,2212,0,0
1210,2200,0,0
1211,2187,0,2
1212,2181,0,0
1213,2168,0,0
1214,2137,0,1
1215,2145,0,0
1216,2141,0,3
1217,2121,0,0
1218,2105,0,0
1219,2095,0,0
1220,2087,0,0
1221,2068,0,0
1222,2066,0,0
1223,2052,0,10
1224,2039,0,0
1225,2026,0,0
1226,1993,0,2
1227,1999,0,0
1228,1959,0,0
1229,1968,0,1
1230,1941,0,2
1231,1920,0,1
1232,1917,0,0
1233,1896,0,4
1234,1891,0,0
1235,1871,0,0
1236,1852,0,0
1237,1831,0,0
1238,1831,0,0
1239,1802,0,0
1240,1802,0,0
1241,1777,0,6
1242,1755,0,0
1243,1736,0,0
1244,1728,0,6
1245,1705,0,7
1246,1688,0,0
1247,1668,0,0
1248,1650,0,0
1249,1640,0,0
1250,1620,0,0
1251,1612,0,0
1252,1589,0,0
1253,1565,0,4
1254,1551,0,0
1255,1540,0,8
1256,1516,0,0
1257,1501,0,0
1258,1493,0,6
1259,1468,0,0
1260,1464,0,0
1261,1434,0,0
1262,1421,0,0
1263,1410,0,0
1264,1383,0,1
1265,1379,0,0
1266,1352,0,0
1267,1343,0,0
1268,1330,0,0
1269,1316,0,0
1270,1293,0,2
1271,1278,0,0
1272,1264,0,1
1273,1252,0,0
1274,1227,0,6
1275,1221,0,0
1276,1211,0,0
1277,1193,0,0
1278,1163,0,0
1279,1163,0,0
1280,1145,0,0
1281,1139,0,1
1282,1134,0,1
1283,1103,0,6
1284,1110,0,0
1285,1087,0,0
1286,1082,0,0
1287,1071,0,0
1288,1058,0,0
1289,1049,0,3
1290,1049,0,3
1291,1016,0,0
1292,1013,0,2
1293,1009,0,0
1294,999,0,0
1295,987,0,1
1296,986,0,1
1297,973,0,0
1298,959,0,0
1299,952,0,0
1300,943,0,0
1301,931,0,6
1302,932,0,6
1303,934,0,1
1304,922,0,0
1305,926,0,0
1306,918,0,0
1307,901,0,3
1308,897,0,0
1309,890,0,6
1310,900,0,1
1311,881,0,0
1312,889,0,2
1313,869,0,1
1314,885,0,2
1315,880,0,0
1316,883,0,0
1317,875,0,6
1318,869,0,0
1319,865,0,0
1320,873,0,0
1321,871,0,0
1322,864,0,0
1323,864,0,0
1324,859,0,0
1325,871,0,2
1326,869,0,2
1327,871,0,1
1328,877,0,0
1329,865,0,2
1330,858,0,0
1331,877,0,2
1332,869,0,0
1333,874,0,0
1334,867,0,0
1335,879,0,1
1336,878,0,2
1337,875,0,1
1338,875,0,1
1339,879,0,0
1340,865,0,0
1341,872,0,0
1342,880,0,1
1343,879,0,1
1344,895,0,1
1345,904,0,0
1346,904,0,0
1347,918,0,0
1348,918,0,0
1349,907,0,0
1350,942,0,0
1351,962,0,0
1352,965,0,0
1353,964,0,0
1354,982,0,0
1355,994,0,0
1356,1001,0,0
1357,1010,0,0
1358,1029,0,2
1359,1042,0,0
1360,1035,0,0
1361,1066,0,0
1362,1067,0,0
1363,1087,0,0
1364,1098,0,0
1365,1118,0,0
1366,1123,0,4
1367,1136,0,0
1368,1153,0,1
1369,1168,0,3
1370,1180,0,0
1371,1190,0,0
1372,1214,0,1
1373,1228,0,0
1374,1244,0,0
1375,1259,0,2
1376,1271,0,8
1377,1290,0,0
1378,1310,0,1
1380,1334,0,1
1382,1367,0,2
1384,1395,0,0
1386,1431,0,2
1388,1463,0,2
1390,1497,0,0
1392,1531,0,0
1394,1566,0,0
1396,1591,0,0
1398,1623,0,2
1400,1659,0,0
1402,1698,0,0
1404,1728,0,0
1406,1756,0,0
1408,1770,0,0
1410,1819,0,0
1412,1845,0,0
1414,1867,0,0
1416,1895,0,2
1418,1924,0,0
1420,1953,0,2
1422,1967,0,3
1424,2014,0,0
1426,2023,0,0
1425,2022,0,0
1428,2058,0,0
1429,2061,0,1
1430,2074,0,0
1432,2083,0,2
1433,2099,0,0
1434,2111,0,0
1436,2133,0,4
1437,2135,0,0
1438,2135,0,0
1440,2159,0,0
1441,2168,0,0
1442,2174,0,1
1444,2192,0,0
1445,2183,0,2
1446,2192,0,3
1448,2206,0,11
1449,2212,0,0
1450,2215,0,2
1452,2216,0,0
1453,2224,0,2
1454,2224,0,2
1456,2229,0,1
1457,2238,0,0
1458,2238,0,0
1460,2235,0,0
1461,2235,0,0
1462,2242,0,0
1464,2244,0,2
1465,2226,0,6
1466,2237,0,0
1468,2242,0,0
1469,2238,0,0
1470,2237,0,0
1472,2248,0,1
1473,2236,0,2
1474,2219,0,1
1476,2229,0,1
1477,2240,0,0
1478,2232,0,0
1480,2227,0,0
1481,2234,0,0
1482,2217,0,0
1484,2209,0,0
208,0,0
1485,2199,0,0
1486,2196,0,0
1487,2187,0,0
1488,2179,0,0
1489,2178,0,10
1490,2165,0,0
1491,2149,0,0
1492,2143,0,2
1493,2134,0,0
1494,2128,0,2
1495,2126,0,0
1496,2101,0,0
1497,2100,0,0
1498,2092,0,0
1499,2076,0,0
1500,2068,0,0
1501,2060,0,1
1502,2050,0,1
1503,2021,0,1
1504,2015,0,0
1505,1993,0,0
1506,1994,0,1
1507,1981,0,0
1508,1967,0,0
1509,1947,0,1
1510,1938,0,0
1511,1927,0,10
1512,1918,0,0
1513,1898,0,0
1514,1873,0,0
1515,1867,0,0
1516,1855,0,0
1517,1837,0,0
1518,1837,0,0
1519,1820,0,3
1520,1779,0,3
1521,1771,0,0
1522,1761,0,0
1523,1742,0,3
1524,1741,0,0
1525,1720,0,0
1526,1697,0,0
1527,1683,0,0
1528,1680,0,0
1529,1661,0,0
1530,1654,0,0
1531,1642,0,0
1532,1642,0,0
1533,1604,0,0
1534,1592,0,0
1535,1578,0,0
1536,1545,0,0
1537,1541,0,0
1538,1522,0,0
1539,1509,0,10
1540,1492,0,4
1541,1477,0,2
1542,1457,0,6
1543,1431,0,0
1544,1438,0,0
1545,1415,0,2
1546,1410,0,0
1547,1390,0,0
1548,1369,0,2
1549,1360,0,0
1550,1344,0,0
1551,1320,0,1
1552,1326,0,0
1553,1306,0,0
1554,1298,0,0
1555,1277,0,0
1556,1272,0,1
1557,1248,0,0
1558,1229,0,0
1559,1215,0,0
1560,1203,0,0
1561,1203,0,0
1562,1185,0,2
1563,1185,0,2
1564,1167,0,2
1565,1158,0,0
1566,1135,0,0
1567,1133,0,2
1568,1121,0,0
1569,1111,0,0
1570,1104,0,2
1571,1092,0,1
1572,1079,0,0
1573,1078,0,0
1574,1056,0,6
1575,1061,0,0
1576,1051,0,0
1577,1040,0,0
1578,1038,0,1
1579,1023,0,11
1580,1023,0,0
1581,1009,0,0
1582,1010,0,0
1583,1004,0,0
1584,984,0,0
1585,981,0,1
1586,988,0,2
1587,969,0,0
1588,986,0,1
1589,978,0,0
1590,971,0,0
1591,960,0,0
1592,953,0,0
1593,951,0,2
1594,948,0,0
1595,956,0,0
1596,930,0,0
1597,935,0,0
1598,948,0,0
1599,931,0,0
1600,952,0,0
1601,946,0,0
1602,944,0,0
1603,929,0,0
1604,950,0,0
1605,941,0,0
1606,940,0,1
1607,944,0,0
1608,937,0,0
1609,948,0,0
1610,940,0,0
1611,940,0,0
1612,943,0,0
1613,942,0,0
1614,948,0,0
1615,947,0,0
1616,952,0,0
1617,943,0,6
1618,948,0,0
1619,939,0,6
1620,941,0,0
1621,943,0,2
1622,936,0,0
1623,949,0,0
1624,949,0,0
1625,962,0,0
1626,968,0,1
1627,961,0,0
1628,986,0,0
1629,995,0,0
1630,1006,0,1
1631,1011,0,0
1632,1015,0,0
1633,1028,0,0
1634,1028,0,0
1635,1048,0,0
1636,1049,0,0
1637,1065,0,2
1638,1075,0,0
1639,1085,0,2
1640,1091,0,0
1641,1104,0,6
1642,1117,0,0
1643,1131,0,0
1644,1140,0,0
1645,1154,0,0
1646,1153,0,0
1647,1176,0,1
1648,1176,0,1
1649,1202,0,2
1650,1195,0,0
1651,1224,0,0
1652,1246,0,0
1653,1253,0,2
1654,1271,0,0
1655,1280,0,0
1656,1302,0,0
1657,1308,0,0
1658,1321,0,6
1659,1336,0,0
1660,1355,0,0
1661,1370,0,0
1662,1381,0,10
1663,1393,0,5
1664,1415,0,2
1665,1431,0,0
1666,1445,0,0
1667,1445,0,0
1668,1472,0,6
1669,1498,0,0
1670,1505,0,0
1671,1524,0,3
1672,1529,0,7
1673,1543,0,0
1674,1567,0,2
1675,1575,0,0
1676,1597,0,0
1677,1614,0,0
1678,1615,0,0
1679,1633,0,0
1680,1650,0,0
1681,1665,0,0
1682,1683,0,1
1683,1694,0,0
1684,1707,0,1
1685,1707,0,1
1686,1740,0,5
1687,1741,0,0
1688,1765,0,0
1689,1781,0,2
1690,1781,0,2
1691,1812,0,2
1692,1815,0,0
1693,1825,0,0
1694,1846,0,0
1695,1861,0,0
1696,1870,0,1
1697,1882,0,0
1698,1898,0,4
1699,1914,0,0
1700,1924,0,0
1701,1932,0,5
1702,1929,0,1
